node_cpu_seconds_total_idle_0,node_cpu_seconds_total_iowait_0,node_cpu_seconds_total_irq_0,node_cpu_seconds_total_nice_0,node_cpu_seconds_total_softirq_0,node_cpu_seconds_total_steal_0,node_cpu_seconds_total_system_0,node_cpu_seconds_total_user_0,node_cpu_seconds_total_idle_1,node_cpu_seconds_total_iowait_1,node_cpu_seconds_total_irq_1,node_cpu_seconds_total_nice_1,node_cpu_seconds_total_softirq_1,node_cpu_seconds_total_steal_1,node_cpu_seconds_total_system_1,node_cpu_seconds_total_user_1,node_cpu_seconds_total_idle_2,node_cpu_seconds_total_iowait_2,node_cpu_seconds_total_irq_2,node_cpu_seconds_total_nice_2,node_cpu_seconds_total_softirq_2,node_cpu_seconds_total_steal_2,node_cpu_seconds_total_system_2,node_cpu_seconds_total_user_2,node_cpu_seconds_total_idle_3,node_cpu_seconds_total_iowait_3,node_cpu_seconds_total_irq_3,node_cpu_seconds_total_nice_3,node_cpu_seconds_total_softirq_3,node_cpu_seconds_total_steal_3,node_cpu_seconds_total_system_3,node_cpu_seconds_total_user_3,node_memory_Active_bytes_idle_0,node_load1_idle_0,node_load5_idle_0,node_load15_idle_0,node_memory_MemAvailable_bytes_idle_0,node_memory_MemFree_bytes_idle_0,node_memory_MemTotal_bytes_idle_0,timestamp
1930.48,33.74,0,0.19,0.45,0,51.46,166.2,1934.04,33.01,0,0.2,0.78,0,53.56,165.29,1949.7,25.13,0,0.12,0.66,0,46.05,168.94,1922.22,27.87,0,0.14,7.76,0,49.36,158.14,1253167104,0.47,0.35,0.35,715882496,252026880,3364966400,2019-07-30 09:40:23.553
1930.48,33.74,0,0.19,0.45,0,51.46,166.2,1934.04,33.01,0,0.2,0.78,0,53.56,165.29,1949.7,25.13,0,0.12,0.66,0,46.05,168.94,1922.22,27.87,0,0.14,7.76,0,49.36,158.14,1253167104,0.47,0.35,0.35,715882496,252026880,3364966400,2019-07-30 09:40:23.619
1930.48,33.74,0,0.19,0.45,0,51.46,166.2,1934.04,33.01,0,0.2,0.78,0,53.56,165.29,1949.7,25.13,0,0.12,0.66,0,46.05,168.94,1922.22,27.87,0,0.14,7.76,0,49.36,158.14,1253167104,0.47,0.35,0.35,715882496,252026880,3364966400,2019-07-30 09:40:23.632
1930.48,33.74,0,0.19,0.45,0,51.46,166.2,1934.04,33.01,0,0.2,0.78,0,53.56,165.29,1949.7,25.13,0,0.12,0.66,0,46.05,168.94,1922.22,27.87,0,0.14,7.76,0,49.36,158.14,1253167104,0.47,0.35,0.35,715882496,252026880,3364966400,2019-07-30 09:40:24.062
1930.48,33.74,0,0.19,0.45,0,51.46,166.2,1934.04,33.01,0,0.2,0.78,0,53.56,165.29,1949.7,25.13,0,0.12,0.66,0,46.05,168.94,1922.22,27.87,0,0.14,7.76,0,49.36,158.14,1253167104,0.47,0.35,0.35,715882496,252026880,3364966400,2019-07-30 09:40:25.155
1930.48,33.74,0,0.19,0.45,0,51.46,166.2,1934.04,33.01,0,0.2,0.78,0,53.56,165.29,1949.7,25.13,0,0.12,0.66,0,46.05,168.94,1922.22,27.87,0,0.14,7.76,0,49.36,158.14,1253167104,0.47,0.35,0.35,715882496,252026880,3364966400,2019-07-30 09:40:26.237
1930.48,33.74,0,0.19,0.45,0,51.46,166.2,1934.04,33.01,0,0.2,0.78,0,53.56,165.29,1949.7,25.13,0,0.12,0.66,0,46.05,168.94,1922.22,27.87,0,0.14,7.76,0,49.36,158.14,1253167104,0.47,0.35,0.35,715882496,252026880,3364966400,2019-07-30 09:40:27.329
1930.48,33.74,0,0.19,0.45,0,51.46,166.2,1934.04,33.01,0,0.2,0.78,0,53.56,165.29,1949.7,25.13,0,0.12,0.66,0,46.05,168.94,1922.22,27.87,0,0.14,7.76,0,49.36,158.14,1253167104,0.47,0.35,0.35,715882496,252026880,3364966400,2019-07-30 09:40:28.417
1941.58,33.74,0,0.19,0.46,0,52.18,168.68,1944.56,33.01,0,0.2,0.79,0,54.35,168.31,1960.69,25.14,0,0.12,0.67,0,46.93,171.65,1932.86,27.87,0,0.14,7.9,0,49.96,160.92,1282150400,0.52,0.36,0.35,693325824,216670208,3364966400,2019-07-30 09:40:29.502
1941.58,33.74,0,0.19,0.46,0,52.18,168.68,1944.56,33.01,0,0.2,0.79,0,54.35,168.31,1960.69,25.14,0,0.12,0.67,0,46.93,171.65,1932.86,27.87,0,0.14,7.9,0,49.96,160.92,1282150400,0.52,0.36,0.35,693325824,216670208,3364966400,2019-07-30 09:40:30.579
